"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 10, 2017",California,Bakersfield,"800 block of Pershing St",1,2,N/A
"November 9, 2017",Michigan,Kalamazoo,"100 block of Emerson St",3,0,N/A
"November 9, 2017",Pennsylvania,Philadelphia,"200 block of W Godfrey",1,0,N/A
"November 9, 2017",Utah,Mapleton,"1502 N. Highway 89",4,0,N/A
"November 7, 2017",Oregon,Roseburg,"463 Whispering Pines Way",3,0,N/A
"November 5, 2017",Texas,"Waco (Hallsburg)","Willbanks Dr",2,0,N/A
"November 5, 2017",Texas,"Sutherland Springs","216 4th St",27,20,N/A
"November 4, 2017",Texas,"San Antonio","New Laredo Hwy and Briggs Ave",1,0,N/A
"November 2, 2017",Texas,Mabank,"239 Forest Lane Dr",2,0,N/A
"November 2, 2017",Louisiana,Arnaudville,"1000 block of Kennedy Drive",1,0,N/A
"October 31, 2017",Wisconsin,Baldwin,N/A,2,0,N/A
"October 28, 2017",California,Modesto,"1400 block of Lake Park Ct",1,1,N/A
"October 25, 2017","South Carolina",Hampton,"822 Melvins Circle",1,0,N/A
"October 20, 2017","New York",Rochester,"Walnut St",1,0,N/A
"October 19, 2017",Florida,Jacksonville,"2000 Block of Broadway Ave",1,1,N/A
"October 18, 2017",Arkansas,"Forrest City","Wolf Street",3,0,N/A
"October 15, 2017",Texas,Houston,"6233 Gulfton St",2,2,N/A
"October 14, 2017",Illinois,Decatur,"1400 block of East Wellington Way",1,0,N/A
"October 14, 2017",Louisiana,Zachary,"3400 block of Hancock Street",1,0,N/A
"October 13, 2017",Michigan,Flint,"N Dort Hwy and Carpenter Rd",1,0,N/A
"October 11, 2017",Ohio,Pedro,"15497 SR 93",4,0,N/A
"October 10, 2017",Virginia,Richmond,"Fayette Ave",1,1,N/A
"October 6, 2017",Alabama,Jackson,"Robinson Road",3,0,N/A
"October 6, 2017",Arkansas,Helena,"300 block of Dinan St",1,0,N/A
"October 6, 2017",Florida,Bascom,"Robinson Rd",3,0,N/A
"October 6, 2017","West Virginia",Culloden,"Benedict Rd",2,1,N/A
"October 3, 2017",Florida,Orlando,"222 Neighborhood Market Rd",1,0,N/A
"October 2, 2017",Mississippi,Falkner,N/A,1,0,N/A
"October 1, 2017",Georgia,Augusta,"2300 Block of Barton Chapel Rd",1,0,N/A
"October 1, 2017","South Carolina",Bowman,N/A,1,0,N/A
"September 30, 2017",Texas,"Cleveland (Plum Grove)","CR 3560",1,0,N/A
"September 28, 2017",Texas,Tornillo,"19000 block of Highland",1,0,N/A
"September 28, 2017",Ohio,"Cleveland (Parma)","6600 block of Brownfield Dr",1,0,N/A
"September 26, 2017","South Dakota",Lennox,"S Main St",3,0,N/A
"September 24, 2017",Louisiana,"Lake Charles","North Shattuck Street",1,1,N/A
"September 23, 2017",Missouri,Salem,"CR 621",1,0,N/A
"September 22, 2017",Kansas,Lawrence,"606 N Michigan St",1,0,N/A
"September 22, 2017",Florida,Miami,"25389 SW 132nd Ave",3,0,N/A
"September 21, 2017",Massachusetts,Foxboro,"79 East St",2,0,N/A
"September 18, 2017",Illinois,Dixon,"1000 block of Fargo Ave",2,0,N/A
"September 15, 2017","South Carolina",Hartsville,"Folly Rd",1,0,N/A
"September 14, 2017",Tennessee,Clarksville,"221 Mills Dr",3,0,N/A
"September 14, 2017",Florida,Tampa,N/A,1,0,N/A
"September 10, 2017",Ohio,Madison,"3800 block of Wade Rd",1,0,N/A
"September 6, 2017","South Carolina",Columbia,"2400 block of Truax Ln",2,0,N/A
"September 3, 2017",Mississippi,"Horn Lake","Carroll Cove West",1,0,N/A
"September 2, 2017",Texas,"Haltom City","3500 block of Parker Rd E",1,0,N/A
"August 30, 2017",Mississippi,Cleveland,"1700 block of South Chrisman Avenue",1,0,N/A
"August 28, 2017",Maine,Scarborough,"17 Milliken St",1,0,N/A
"August 28, 2017",Texas,Scurry,"9500 block of Timber Trail",1,0,N/A
"August 28, 2017",Illinois,Joliet,"407 N Reed Street",3,0,N/A
"August 25, 2017",Kentucky,Louisville,"4800 block of Bluebird Ave",3,0,N/A
"August 24, 2017",Missouri,"Saint Louis","10400 block of Balmoral Dr",4,0,N/A
"August 23, 2017",California,Bloomington,"17000 block of Santa Ana Avenue",4,0,N/A
"August 21, 2017","New York",Syracuse,"107 Hartson St",1,0,N/A
"August 20, 2017","South Carolina",Gaffney,"800 block of West Buford St",1,0,N/A
"August 20, 2017",Tennessee,Memphis,"1000 block of Parkland Road",1,0,N/A
"August 19, 2017",Tennessee,Memphis,"1400 block of Hickory Way",1,0,N/A
"August 18, 2017",Connecticut,Waterbury,"Third St",2,0,N/A
"August 16, 2017",Alaska,Togiak,N/A,1,0,N/A
"August 15, 2017",Mississippi,Grenada,"Adams Street",1,0,N/A
"August 14, 2017",Colorado,"Pueblo (Pueblo West)","1000 block of Mescal Dr",1,0,N/A
"August 14, 2017",Kansas,Lawrence,"1000 block of E900 Rd",3,0,N/A
"August 9, 2017",Pennsylvania,"West Mifflin","108 Dover Ln",1,0,N/A
"August 7, 2017",Georgia,Cumming,"Carleen Ct",2,0,N/A
"August 6, 2017",Missouri,"Kansas City","9600 block of Lydia Avenue",1,0,N/A
"August 5, 2017",Alabama,Birmingham,"4100 block of Third Avenue South",1,2,N/A
"August 5, 2017",Indiana,"Crown Point","7700 block of East 120th Avenue",1,0,N/A
"August 4, 2017",Mississippi,Gulfport,"3600 block of Sabine Street",1,0,N/A
"August 1, 2017",Nevada,"Las Vegas","9500 block of Chandler Springs Ave",1,0,N/A
"August 1, 2017",Montana,Helena,"246 Hope Road",1,0,N/A
"July 31, 2017",Kentucky,Louisville,"6509 Huff Lane",1,0,N/A
"July 31, 2017","South Carolina",Lancaster,"509 E Dunlap St",1,0,N/A
"July 30, 2017",Louisiana,"Bossier City","5303 E Texas St",1,1,N/A
"July 30, 2017",Missouri,Marshfield,"1200 block of S White Oak Rd",3,0,N/A
"July 30, 2017",Florida,Tampa,"1020 E Hannah Ave",1,0,N/A
"July 29, 2017",Missouri,Miller,N/A,1,0,N/A
"July 23, 2017",Missouri,"Saint Louis","1400 block of Kealty Ln",1,0,N/A
"July 22, 2017",Wisconsin,Milwaukee,"N 23rd and W Nash",1,0,N/A
"July 19, 2017",Texas,"San Antonio","200 block of Hub Ave",1,1,N/A
"July 15, 2017","North Carolina","New Bern","1000 block of Antioch Road",1,0,N/A
"July 14, 2017",Illinois,Chicago,"3500 block of E 97th St",1,1,N/A
"July 13, 2017","South Carolina",Easley,"3800 Calhoun Memorial Hwy",4,0,N/A
"July 12, 2017",Wisconsin,Racine,"1800 block of Howe St",1,0,N/A
"July 10, 2017",Nevada,"Las Vegas","10300 block of Numaga Road",3,0,N/A
"July 9, 2017",Alabama,Birmingham,"800 block of 46th Pl N",1,1,N/A
"July 8, 2017",Tennessee,Memphis,"3600 block of Duchess Dr",1,0,N/A
"July 4, 2017",Mississippi,Louisville,"4000 block of Highpoint Weir Road",1,0,N/A
"July 4, 2017",Georgia,Atlanta,"2591 Etheridge Dr NW",1,0,N/A
"July 1, 2017",Mississippi,Jackson,"3720 Cromwell Street",1,0,N/A
"July 1, 2017",Georgia,Cordele,"Culpepper Rd",1,0,N/A
"June 29, 2017",Arizona,Chandler,"700 block of W Ivanhoe St",1,0,N/A
"June 26, 2017",Indiana,Indianapolis,"7100 block of Warrior Trail",1,0,N/A
"June 26, 2017",Alabama,Montgomery,"1714 Coral Ln",1,1,N/A
"June 25, 2017",Arkansas,"El Dorado",N/A,1,0,N/A
"June 20, 2017",Michigan,Clinton,"24204 Lotus Dr",1,0,N/A
"June 20, 2017",Arkansas,Danville,"Belleville Ridge Road",1,0,N/A
"June 18, 2017",Pennsylvania,Saylorsburg,"500 block of Ash Lane",1,0,N/A
"June 16, 2017","South Carolina",Spartanburg,"Whitener Avenue",1,0,N/A
"June 14, 2017",Texas,Houston,"5300 block of N Braesvalley",1,0,N/A
"June 11, 2017",Tennessee,"Memphis (Hickory Hill)","6700 block of Winchester",1,0,N/A
"June 10, 2017",Indiana,Hobart,"100 block of East 10th Avenue",1,0,N/A
"June 8, 2017",Mississippi,Monticello,"88 Mt Olive Rd",1,0,N/A
"June 6, 2017",Pennsylvania,Strasburg,"1433 Village Rd",3,0,N/A
"June 6, 2017",Tennessee,Nashville,"766 Lewis Street",1,0,N/A
"June 6, 2017",Utah,Sandy,"2232 Alta Canyon Drive",3,2,N/A
"June 4, 2017","North Carolina",Durham,"Hillandale Road and Peppertree Street",1,0,N/A
"June 3, 2017",Pennsylvania,Chester,"2902 Bethel Road",1,0,N/A
"May 31, 2017",Mississippi,"Mount Olive","200 block of Smith Jones Road",2,1,N/A
"May 27, 2017",Mississippi,"Bogue Chitto","2871 Lee Dr",8,1,N/A
"May 22, 2017",Michigan,"Trenton (Woodhaven)","25010 Marsh Creek Blvd",3,0,N/A
"May 21, 2017",Kentucky,Louisville,"2100 block of W Madison St",1,0,N/A
"May 18, 2017",Mississippi,Madison,"1279 Gluckstadt Road",1,0,N/A
"May 18, 2017",Ohio,Dayton,"3821 Lori Sue Ave",2,0,N/A
"May 15, 2017",Virginia,"Locust Grove","10438 Cecelia Lane",1,0,N/A
"May 15, 2017",Virginia,"Locust Grove","Mine Run Rd",1,0,N/A
"May 12, 2017",Missouri,"Kansas City","54th St and Park Ave",1,2,N/A
"May 12, 2017","South Carolina",Starr,"500 block of  Agnew Road",1,0,N/A
"May 11, 2017",Indiana,"East Chicago","3500 block of Guthrie Street",1,0,N/A
"May 10, 2017",Georgia,Winder,"2500 block of Avalon Cir",1,0,N/A
"May 3, 2017",Texas,Dallas,"3900 block of Investor Drive",2,0,N/A
"April 30, 2017",Virginia,Henrico,"1600 block of Henrico Arms Place",1,0,N/A
"April 23, 2017",Pennsylvania,York,"700 block of Greenbriar Rd",3,0,N/A
"April 23, 2017",Mississippi,Vicksburg,"2004 Ford St",1,0,N/A
"April 20, 2017",Washington,Longview,N/A,2,0,N/A
"April 19, 2017",Virginia,Norfolk,"9500 block of 19th Bay St",1,0,N/A
"April 13, 2017",Texas,Katy,"21323 Finbury Oaks Lane",1,0,N/A
"April 12, 2017",Oregon,Portland,"16225 NE Glisan St",3,0,N/A
"April 11, 2017",Illinois,Evansville,N/A,1,0,N/A
"April 10, 2017",California,"San Bernardino","5378 N H St",3,1,N/A
"April 7, 2017",Illinois,Pekin,"1802 Victoria Drive",1,0,N/A
"April 2, 2017",Texas,"Corpus Christi","1000 block of Vaky St",1,0,N/A
"April 1, 2017",Nevada,"Las Vegas","2655 East Deer Springs Way",1,1,N/A
"March 30, 2017",Washington,Longview,"900 block of 8th Ave",2,0,N/A
"March 30, 2017",Texas,Longview,"900 block of 8th Ave",2,0,N/A
"March 27, 2017",Florida,Sanford,"209 Hays Dr",2,4,N/A
"March 26, 2017",Oklahoma,Ochelata,"North 3950 Road",1,0,N/A
"March 25, 2017","North Carolina","High Point","1301 Filbert Place",1,0,N/A
"March 23, 2017",Maryland,Waldorf,"3305 Westdale Ct",3,1,N/A
"March 23, 2017",Texas,Whitney,"200 block of FM 1534",1,0,N/A
"March 21, 2017",Kentucky,"Mount Olivet","4214 Pinhook Road",1,0,N/A
"March 20, 2017",Arizona,Phoenix,"3428 W Rosewood Ave",1,0,N/A
"March 19, 2017","South Dakota","Charles Mix (county)",N/A,1,0,N/A
"March 19, 2017",California,Capitola,"1855 41st Ave",2,0,N/A
"March 18, 2017","New Jersey",Newark,"878 S 19th St",1,0,N/A
"March 12, 2017",Pennsylvania,"Pittsburgh (Mount Washington)","714 Southern Ave",1,0,N/A
"March 12, 2017",Pennsylvania,Stroudsburg,"Ramble Bush Road",2,0,N/A
"March 10, 2017",Louisiana,"New Orleans (Gentilly)","4200 block of Touro St",3,1,N/A
"March 5, 2017",California,"El Centro","2131 West Elm Ave",4,0,N/A
"February 27, 2017",Arkansas,Beebe,"South Cypress Street",1,0,N/A
"February 25, 2017",Texas,Houston,"West Fuqua and Beltway 8",1,0,N/A
"February 23, 2017",California,Bakersfield,"600 block of California Ave",2,1,N/A
"February 21, 2017",Mississippi,Toomsuba,"Butts Road",4,0,N/A
"February 20, 2017",California,Pomona,"1100 block of W 11th St",1,0,N/A
"February 19, 2017",Idaho,Preston,"67 W. 200 S.",4,0,N/A
"February 14, 2017",Illinois,Chicago,"2300 block of South Kenneth Avenue",2,1,N/A
"February 13, 2017",Missouri,"Saint Louis (Jennings)","Minnie Ave",1,0,N/A
"February 11, 2017",Illinois,Chicago,"6500 block of South King Dr",1,0,N/A
"February 9, 2017",Texas,Corsicana,"4600 block of SE CR 1090",3,0,N/A
"February 7, 2017",Oklahoma,Morris,"17000 block of U.S. 62",4,0,N/A
"February 6, 2017",Georgia,"Fort Valley","1103 E Church St",1,0,N/A
"February 4, 2017",Florida,Jacksonville,"700 N Lincoln St",1,1,N/A
"February 4, 2017",Virginia,"Hot Springs","Billy Goat Lane",1,0,N/A
"February 3, 2017",Massachusetts,Dudley,N/A,1,0,N/A
"February 2, 2017",Idaho,Peck,"22400 block of Big Canyon Road",1,0,N/A
"February 2, 2017","South Carolina","Myrtle Beach","Afton Court",1,0,N/A
"February 1, 2017","New Mexico",Carlsbad,"900 block of Lamont Street",1,0,N/A
"January 30, 2017",Colorado,"Littleton (Highlands Ranch)","Crestmore Way",1,0,N/A
"January 26, 2017",Georgia,Fitzgerald,"400 block of West Orange Street",2,0,N/A
"January 26, 2017",Missouri,Fairdealing,N/A,3,0,N/A
"January 20, 2017",Florida,Auburndale,"100 block of Lakeside Hills Loop",1,0,N/A
"January 18, 2017",Ohio,Cincinnati,"2235 Burnet Avenue",1,1,N/A
"January 13, 2017",Missouri,Carthage,"1054 James Street",1,0,N/A
"January 11, 2017",California,Chowchilla,"205 Alameda Avenue",1,0,N/A
"January 10, 2017",Florida,"Fort Lauderdale","2030 NW 29th Ter",2,0,N/A
"January 10, 2017",Colorado,"Colorado Springs","3655 El Morro Rd",4,0,N/A
"January 8, 2017",Tennessee,"Cedar Hill","6110 Smith Road",1,0,N/A
"January 6, 2017",Tennessee,Jackson,"220 Vann Dr",1,0,N/A
"January 5, 2017",Florida,Clearwater,"711 South Lincoln Avenue",1,0,N/A
"January 3, 2017","North Carolina",Pinetown,"334 Main Street",1,0,N/A
"January 3, 2017",Oregon,Hubbard,"18950 Fobert Rd NE",4,0,N/A
"January 1, 2017",Alabama,Athens,"16931 Buckskin Drive",1,0,N/A
"January 1, 2017","South Carolina","West Columbia","1100 block of Old Barnwell Road",4,0,N/A
"December 31, 2016",Indiana,Indianapolis,"4006 Newburgh Drive",1,0,N/A
"December 31, 2016","New Jersey",Stratford,"Union Ave",1,0,N/A
"December 30, 2016",Mississippi,Meridian,"803 29th St",1,0,N/A
"December 28, 2016",Florida,"Fort Lauderdale (Dania Beach)","200 block of NW Ninth Avenue",1,2,N/A
"December 26, 2016","South Carolina",Andrews,"1358 Mount Pleasant Dr",1,0,N/A
"December 23, 2016",Ohio,Cleveland,"3811 Library Avenue",1,0,N/A
"December 21, 2016",Arkansas,"Little Rock","2510 Romine Road",1,0,N/A
"December 21, 2016",Ohio,Columbus,"2700 block of Noe Bixby",1,0,N/A
"December 17, 2016",Arkansas,"Little Rock","2600 S Shackleford Rd",1,0,N/A
"December 16, 2016","North Carolina",Greensboro,"Waugh Street",1,0,N/A
"December 11, 2016",Minnesota,Faribault,"2500 block of Hulett Avenue",2,0,N/A
"December 9, 2016",Florida,Pensacola,"2200 block of Brookpark Road",1,0,N/A
"December 5, 2016","New Mexico",Albuquerque,"1532 Stagecoach Lane",4,1,N/A
"December 5, 2016",Kentucky,Lexington,"400 block of Kenton Street",1,3,N/A
"December 4, 2016","North Carolina",Salisbury,"200 block of Harrel Street",1,1,N/A
"December 4, 2016",Ohio,Toledo,"2400 block of Seaman Street",1,0,N/A
"December 3, 2016",Louisiana,Marrero,"2100 block of Caddy Drive",1,1,N/A
"November 30, 2016",Pennsylvania,"New Stanton","1100 Block of Thermo Village Rd",2,0,N/A
"November 29, 2016",Colorado,"Lone Tree","7848 East County Line Road",3,0,N/A
"November 25, 2016",Alaska,Fairbanks,"433 Harold Bentley Ave",4,0,N/A
"November 23, 2016","West Virginia",Troy,"Highway 47 West",1,0,N/A
"November 22, 2016",Arkansas,"Little Rock","2000 block of Harrison Street",1,0,N/A
"November 19, 2016",Pennsylvania,"Wilkes Barre","351 McLean Street",3,0,N/A
"November 18, 2016",Georgia,Norcross,"700 block of Pebble Creek Drive",3,0,N/A
"November 17, 2016",Virginia,Stafford,"8 Wilderness Ct",4,0,N/A
"November 15, 2016",Oklahoma,"Creek (county)","22500 block of West 71st Street",2,0,N/A
"November 14, 2016",Texas,Houston,"10445 Greens Crossing Boulevard",1,2,N/A
"November 13, 2016",Colorado,"Park (county)",N/A,1,0,N/A
"November 13, 2016",Florida,Jacksonville,"5105 Cleveland Rd",3,2,N/A
"November 13, 2016",Michigan,Ypsilanti,"212 Stevens Drive",1,0,N/A
"November 12, 2016",Colorado,"Grand Junction (Fruitvale)","3060 Sandpiper Avenue",1,0,N/A
"November 10, 2016",Texas,Amarillo,"4100 block of Brook Hollow",4,0,N/A
"November 6, 2016",Texas,"Rio Grande City","Woods Brothers Rd and La Sagunada Rd",2,0,N/A
"November 5, 2016",Indiana,Gary,"500 block of West 39th Avenue",1,0,N/A
"November 5, 2016",Texas,Killeen,"4600 block of Golden Gate Drive",1,0,N/A
"November 5, 2016",Missouri,"Saint Louis","806 Cliff Cave Rd",3,0,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",1,0,N/A
"November 3, 2016","New Jersey",Orange,"234 Cleveland Street",2,2,N/A
"October 29, 2016",Ohio,Toledo,"123 Rockingham Street",1,0,N/A
"October 27, 2016",Missouri,"Kansas City","18th and Topping",1,0,N/A
"October 27, 2016","North Carolina",Shelby,"600 block of Whisenant Street",2,1,N/A
"October 25, 2016",Ohio,Columbus,"4600 block of Parkwick Drive",1,3,N/A
"October 22, 2016",Georgia,Jonesboro,"24 Libby Lane",2,0,N/A
"October 20, 2016",Florida,Ochopee,"54000 block of U.S. 41",3,0,N/A
"October 20, 2016",California,Stockton,"8926 Ledgewood Avenue",1,0,N/A
"October 19, 2016",Ohio,Cable,"3140 Chatfield Road",1,0,N/A
"October 16, 2016",Texas,"San Angelo","1,000 block of FM 2105",1,0,N/A
"October 16, 2016",Arizona,Tolleson,"S 91st Ave and W Broadway Rd",3,0,N/A
"October 13, 2016",Illinois,Waukegan,"1100 block of Greenfield Avenue",1,0,N/A
"October 13, 2016",California,Tulare,"22400 block of Road 130",3,0,N/A
"October 9, 2016",Arkansas,Eudora,"240 South Mabry Street",1,2,N/A
"October 9, 2016","North Carolina","Winston Salem (Winston-salem)","669 Harvey Teague Road",2,0,N/A
"October 9, 2016",Minnesota,Minneapolis,"26th Street East and 11th Avenue South",2,0,N/A
"October 5, 2016",Georgia,Savannah,"West 50th Street",1,0,N/A
"October 5, 2016",Oregon,Beaverton,"12015 Southwest Walden Lane",3,0,N/A
"October 1, 2016",Georgia,Mcdonough,"961 King Mill Road",1,0,N/A
"October 1, 2016","South Carolina","Conway (Bucksport)","Martin Luther Drive",4,0,N/A
"September 30, 2016",Minnesota,Minneapolis,"5400 block of 34th Avenue South",3,1,N/A
"September 30, 2016",Wisconsin,Milwaukee,"2100 block of North 15th Street",1,0,N/A
"September 28, 2016",Arizona,Avondale,"525 E Harrison Dr",1,0,N/A
"September 28, 2016","South Carolina",Townville,"105 Townville School Road",2,2,N/A
"September 25, 2016",California,Stockton,"1100 block of South Commerce Street",1,0,N/A
"September 25, 2016",Alabama,Birmingham,"3100 block of Avenue Q",1,0,N/A
"September 18, 2016",Florida,"West Palm Beach","1200 block of W 32nd St",1,0,N/A
"September 18, 2016",Florida,Tampa,"6727 S. Lois Ave.",1,0,N/A
"September 15, 2016",Texas,Katy,"5400 block of Plantation Forest Drive",2,0,N/A
"September 12, 2016",Pennsylvania,Quakertown,"2100 block of Kumry Road",1,0,N/A
"September 11, 2016",Kentucky,Louisville,"1600 block of Brashear Drive",1,0,N/A
"September 10, 2016",Texas,Bastrop,"600 block of Oak Hill Cemetery Road",3,0,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 28, 2016","New Mexico",Albuquerque,"2600 Americare Ct NW",3,0,N/A
"August 28, 2016",Florida,Miami,"NW 25th Ave and 102nd St",1,1,N/A
"August 25, 2016",Tennessee,Parrottsville,"Shenandoah Way",1,0,N/A
"August 24, 2016","New Jersey",Camden,"900 block of South 8th Street",1,0,N/A
"August 18, 2016",Montana,Belgrade,"1005 Cardinal Dr",1,0,N/A
"August 15, 2016",Mississippi,Byhalia,"95 Rebecca Drive",1,0,N/A
"August 14, 2016",Florida,"Palm Beach Gardens (Riviera Beach)","4250 Leo Lane",2,0,N/A
"August 14, 2016",Louisiana,"Prairieville (Galvez)","Oak Trace Road",3,0,N/A
"August 14, 2016",Iowa,Garner,"2194 Sioux Ave",1,0,N/A
"August 13, 2016",Missouri,"Kansas City","5700 block of College Avenue",2,1,N/A
"August 13, 2016",Virginia,Danville,"800 block of Edmonds Street",1,0,N/A
"August 8, 2016",Tennessee,Hendersonville,"118 Shady View Drive",1,0,N/A
"August 8, 2016","New Jersey",Burlington,"15 Sunflower Circle",3,0,N/A
"August 6, 2016",California,"Long Beach","9th and Locust",2,0,N/A
"August 6, 2016",Idaho,Weiser,"Macomb Road",1,0,N/A
"August 6, 2016",Pennsylvania,"Reading (Sinking Spring)","51 Winding Brook Drive",5,0,N/A
