"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 2, 2017",Louisiana,Arnaudville,"1000 block of Kennedy Drive",1,0,N/A
"October 20, 2017","New York",Rochester,"Walnut St",1,0,N/A
"October 17, 2017","South Carolina",Warrenville,"Beckham Rd",1,0,N/A
"October 14, 2017",Illinois,Decatur,"1400 block of East Wellington Way",1,0,N/A
"October 8, 2017","North Carolina","Elizabeth City","S Desert Rd",1,0,N/A
"October 6, 2017",Arkansas,Helena,"300 block of Dinan St",1,0,N/A
"October 3, 2017",Florida,Orlando,"222 Neighborhood Market Rd",1,0,N/A
"October 2, 2017",Mississippi,Falkner,N/A,1,0,N/A
"October 1, 2017",Georgia,Augusta,"2300 Block of Barton Chapel Rd",1,0,N/A
"October 1, 2017","South Carolina",Bowman,N/A,1,0,N/A
"September 30, 2017",Texas,"Cleveland (Plum Grove)","CR 3560",1,0,N/A
"September 28, 2017",Texas,Tornillo,"19000 block of Highland",1,0,N/A
"September 28, 2017",Ohio,"Cleveland (Parma)","6600 block of Brownfield Dr",1,0,N/A
"September 23, 2017",Missouri,"Saint Louis","5400 block of Arlington Ave",1,0,N/A
"September 23, 2017",Missouri,Salem,"CR 621",1,0,N/A
"September 22, 2017",Kansas,Lawrence,"606 N Michigan St",1,0,N/A
"September 15, 2017","South Carolina",Hartsville,"Folly Rd",1,0,N/A
"September 14, 2017",Florida,Tampa,N/A,1,0,N/A
"September 10, 2017",Ohio,Madison,"3800 block of Wade Rd",1,0,N/A
"September 6, 2017","South Carolina",Columbia,"2400 block of Truax Ln",2,0,N/A
"September 3, 2017",Mississippi,"Horn Lake","Carroll Cove West",1,0,N/A
"September 2, 2017",Texas,"Haltom City","3500 block of Parker Rd E",1,0,N/A
"August 30, 2017",Mississippi,Cleveland,"1700 block of South Chrisman Avenue",1,0,N/A
"August 28, 2017",Maine,Scarborough,"17 Milliken St",1,0,N/A
"August 28, 2017",Texas,Scurry,"9500 block of Timber Trail",1,0,N/A
"August 21, 2017","New York",Syracuse,"107 Hartson St",1,0,N/A
"August 20, 2017",Missouri,"Saint Joseph","2600 Mary St",1,0,N/A
"August 20, 2017",Tennessee,Memphis,"1000 block of Parkland Road",1,0,N/A
"August 19, 2017",Tennessee,Memphis,"1400 block of Hickory Way",1,0,N/A
"August 16, 2017",Alaska,Togiak,N/A,1,0,N/A
"August 9, 2017",Pennsylvania,"West Mifflin","108 Dover Ln",1,0,N/A
"August 8, 2017",Wisconsin,Loganville,"Highway 23",1,0,N/A
"August 6, 2017",Missouri,"Kansas City","9600 block of Lydia Avenue",1,0,N/A
"August 5, 2017",Indiana,"Crown Point","7700 block of East 120th Avenue",1,0,N/A
"August 4, 2017",Mississippi,Gulfport,"3600 block of Sabine Street",1,0,N/A
"August 1, 2017",Nevada,"Las Vegas","9500 block of Chandler Springs Ave",1,0,N/A
"August 1, 2017",Montana,Helena,"246 Hope Road",1,0,N/A
"July 31, 2017",Kentucky,Louisville,"6509 Huff Lane",1,0,N/A
"July 31, 2017","South Carolina",Lancaster,"509 E Dunlap St",1,0,N/A
"July 30, 2017",Florida,Tampa,"1020 E Hannah Ave",1,0,N/A
"July 29, 2017",Missouri,Miller,N/A,1,0,N/A
"July 23, 2017",Missouri,"Saint Louis","1400 block of Kealty Ln",1,0,N/A
"July 12, 2017",Wisconsin,Racine,"1800 block of Howe St",1,0,N/A
"July 4, 2017",Mississippi,Louisville,"4000 block of Highpoint Weir Road",1,0,N/A
"July 4, 2017",Georgia,Atlanta,"2591 Etheridge Dr NW",1,0,N/A
"July 1, 2017",Mississippi,Jackson,"3720 Cromwell Street",1,0,N/A
"July 1, 2017",Georgia,Cordele,"Culpepper Rd",1,0,N/A
"June 26, 2017",Indiana,Indianapolis,"7100 block of Warrior Trail",1,0,N/A
"June 26, 2017",Alabama,Montgomery,"1714 Coral Ln",1,1,N/A
"June 25, 2017",Arkansas,"El Dorado",N/A,1,0,N/A
"June 20, 2017",Michigan,Clinton,"24204 Lotus Dr",1,0,N/A
"June 20, 2017",Arkansas,Danville,"Belleville Ridge Road",1,0,N/A
"June 18, 2017",Pennsylvania,Saylorsburg,"500 block of Ash Lane",1,0,N/A
"June 16, 2017","South Carolina",Spartanburg,"Whitener Avenue",1,0,N/A
"June 10, 2017",Indiana,Hobart,"100 block of East 10th Avenue",1,0,N/A
"June 8, 2017",Mississippi,Monticello,"88 Mt Olive Rd",1,0,N/A
"June 6, 2017",Tennessee,Nashville,"766 Lewis Street",1,0,N/A
"June 3, 2017",Pennsylvania,Chester,"2902 Bethel Road",1,0,N/A
"May 26, 2017",Arkansas,"West Helena","257 N Baringo St",1,0,N/A
"May 20, 2017",Illinois,"Des Plaines","2106 David Drive",1,0,N/A
"May 15, 2017",Virginia,"Locust Grove","10438 Cecelia Lane",1,0,N/A
"May 15, 2017",Virginia,"Locust Grove","Mine Run Rd",1,0,N/A
"May 12, 2017","South Carolina",Starr,"500 block of  Agnew Road",1,0,N/A
"May 11, 2017",Indiana,"East Chicago","3500 block of Guthrie Street",1,0,N/A
"May 10, 2017",Georgia,Winder,"2500 block of Avalon Cir",1,0,N/A
"April 30, 2017",Virginia,Henrico,"1600 block of Henrico Arms Place",1,0,N/A
"April 30, 2017",Florida,Jacksonville,"Willow Branch Avenue",1,0,N/A
"April 23, 2017",Mississippi,Vicksburg,"2004 Ford St",1,0,N/A
"April 13, 2017",Texas,Katy,"21323 Finbury Oaks Lane",1,0,N/A
"April 7, 2017",Illinois,Pekin,"1802 Victoria Drive",1,0,N/A
"April 2, 2017",Texas,"Corpus Christi","1000 block of Vaky St",1,0,N/A
"March 26, 2017",Oklahoma,Ochelata,"North 3950 Road",1,0,N/A
"March 25, 2017","North Carolina","High Point","1301 Filbert Place",1,0,N/A
"March 23, 2017",Texas,Whitney,"200 block of FM 1534",1,0,N/A
"March 21, 2017",Kentucky,"Mount Olivet","4214 Pinhook Road",1,0,N/A
"March 20, 2017",Arizona,Phoenix,"3428 W Rosewood Ave",1,0,N/A
"March 19, 2017","South Dakota","Charles Mix (county)",N/A,1,0,N/A
"March 18, 2017","New Jersey",Newark,"878 S 19th St",1,0,N/A
"March 14, 2017",Missouri,"Saint Louis","3300 block of Michigan Ave",1,0,N/A
"March 12, 2017",Pennsylvania,"Pittsburgh (Mount Washington)","714 Southern Ave",1,0,N/A
"February 27, 2017",Arkansas,Beebe,"South Cypress Street",1,0,N/A
"February 13, 2017",Missouri,"Saint Louis (Jennings)","Minnie Ave",1,0,N/A
"February 6, 2017",Georgia,"Fort Valley","1103 E Church St",1,0,N/A
"February 4, 2017",Florida,Jacksonville,"700 N Lincoln St",1,1,N/A
"February 3, 2017",Massachusetts,Dudley,N/A,1,0,N/A
"February 2, 2017",Idaho,Peck,"22400 block of Big Canyon Road",1,0,N/A
"February 2, 2017","South Carolina","Myrtle Beach","Afton Court",1,0,N/A
"February 1, 2017","New Mexico",Carlsbad,"900 block of Lamont Street",1,0,N/A
"January 20, 2017",Florida,Auburndale,"100 block of Lakeside Hills Loop",1,0,N/A
"January 13, 2017",Missouri,Carthage,"1054 James Street",1,0,N/A
"January 11, 2017",California,Chowchilla,"205 Alameda Avenue",1,0,N/A
"January 8, 2017",Tennessee,"Cedar Hill","6110 Smith Road",1,0,N/A
"January 6, 2017",Tennessee,Jackson,"220 Vann Dr",1,0,N/A
"January 3, 2017","North Carolina",Pinetown,"334 Main Street",1,0,N/A
"January 1, 2017",Alabama,Athens,"16931 Buckskin Drive",1,0,N/A
"December 31, 2016",Indiana,Indianapolis,"4006 Newburgh Drive",1,0,N/A
"December 31, 2016","New Jersey",Stratford,"Union Ave",1,0,N/A
"December 30, 2016",Mississippi,Meridian,"803 29th St",1,0,N/A
"December 26, 2016","South Carolina",Andrews,"1358 Mount Pleasant Dr",1,0,N/A
"December 24, 2016",Louisiana,Plaquemine,N/A,1,0,N/A
"December 23, 2016",Ohio,Cleveland,"3811 Library Avenue",1,0,N/A
"December 21, 2016",Arkansas,"Little Rock","2510 Romine Road",1,0,N/A
"December 21, 2016",Ohio,Columbus,"2700 block of Noe Bixby",1,0,N/A
"December 9, 2016",Florida,Pensacola,"2200 block of Brookpark Road",1,0,N/A
"December 6, 2016",Georgia,Mableton,"6660 Mableton Pkwy SE",1,0,N/A
"December 4, 2016",Ohio,Toledo,"2400 block of Seaman Street",1,0,N/A
"November 23, 2016","West Virginia",Troy,"Highway 47 West",1,0,N/A
"November 13, 2016",Colorado,"Park (county)",N/A,1,0,N/A
"November 13, 2016",Michigan,Ypsilanti,"212 Stevens Drive",1,0,N/A
"November 12, 2016",Colorado,"Grand Junction (Fruitvale)","3060 Sandpiper Avenue",1,0,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",1,0,N/A
"October 29, 2016",Ohio,Toledo,"123 Rockingham Street",1,0,N/A
"October 27, 2016",Missouri,"Kansas City","18th and Topping",1,0,N/A
"October 20, 2016",California,Stockton,"8926 Ledgewood Avenue",1,0,N/A
"October 13, 2016",Illinois,Waukegan,"1100 block of Greenfield Avenue",1,0,N/A
"October 1, 2016",Georgia,Mcdonough,"961 King Mill Road",1,0,N/A
"September 30, 2016",Wisconsin,Milwaukee,"2100 block of North 15th Street",1,0,N/A
"September 28, 2016",Arizona,Avondale,"525 E Harrison Dr",1,0,N/A
"September 18, 2016",Florida,"West Palm Beach","1200 block of W 32nd St",1,0,N/A
"September 18, 2016",Florida,Tampa,"6727 S. Lois Ave.",1,0,N/A
"September 12, 2016",Pennsylvania,Quakertown,"2100 block of Kumry Road",1,0,N/A
"September 11, 2016",Kentucky,Louisville,"1600 block of Brashear Drive",1,0,N/A
"September 1, 2016","South Carolina",Columbia,"228 Meredith Square",1,2,N/A
"August 28, 2016",Kentucky,Louisville,"3015 Penway Ave",1,0,N/A
"August 25, 2016",Tennessee,Parrottsville,"Shenandoah Way",1,0,N/A
"August 18, 2016",Montana,Belgrade,"1005 Cardinal Dr",1,0,N/A
"August 15, 2016",Mississippi,Byhalia,"95 Rebecca Drive",1,0,N/A
"August 14, 2016",Iowa,Garner,"2194 Sioux Ave",1,0,N/A
"August 13, 2016",Virginia,Danville,"800 block of Edmonds Street",1,0,N/A
"August 8, 2016",Tennessee,Hendersonville,"118 Shady View Drive",1,0,N/A
"August 6, 2016",Idaho,Weiser,"Macomb Road",1,0,N/A
"August 2, 2016","South Carolina",Coward,"4312 Circle Drive",1,1,N/A
"August 2, 2016",Louisiana,Marrero,"2000 block of Fernando Court",1,0,N/A
"July 31, 2016",Alabama,"Birmingham (Homewood)","1301 Lakeshore Dr.",1,0,N/A
"July 26, 2016",Texas,Houston,"9700 block of Shady Tree Ln",1,0,N/A
"July 20, 2016",Georgia,"Jones (county)","113 Horseshoe Bend Court",1,0,N/A
"July 18, 2016","South Carolina",Gaston,"2400 block of Glenn Road",1,0,N/A
"July 16, 2016",Ohio,Cincinnati,"6200 block of Chandler Street",1,0,N/A
"July 15, 2016",Florida,"Port Orange","829 Hudson Lane",1,0,N/A
"July 14, 2016",Alabama,Leighton,"1500 block of Hwy 157",1,0,N/A
"July 14, 2016",Colorado,"Steamboat Springs",N/A,1,0,N/A
"July 11, 2016",Texas,"Marion (county)","Monica Drive",1,0,N/A
"July 8, 2016",Michigan,Alma,"Penrith Avenue",1,0,N/A
"July 3, 2016",Kentucky,Lowmansville,"July Drive",1,0,N/A
"July 2, 2016",California,Lemoore,"800 block of Dogwood Avenue",1,0,N/A
"July 1, 2016",Tennessee,Clarksville,"874 Samantha Lane",1,0,N/A
"June 25, 2016","New Jersey","East Orange","112 Norman Street",1,0,N/A
"June 23, 2016",Pennsylvania,Philadelphia,"1800 block of N 20th Street",1,0,N/A
"June 20, 2016",Colorado,"Conejos (county)",N/A,1,0,N/A
"June 17, 2016",Iowa,Elgin,"210 Main Street",1,0,N/A
"June 3, 2016",Colorado,Aurora,"1575 Galena Street",1,0,N/A
"May 26, 2016",Virginia,Roanoke,"2000 block of Carroll Avenue NW",1,0,N/A
"May 21, 2016",Louisiana,"La Place (Laplace)","19 Country Club Dr",1,0,N/A
"May 20, 2016",Illinois,Barry,"186 E 2700th St",1,0,N/A
"May 20, 2016",Alabama,Horton,"Welcome Home Church Road",1,0,N/A
"May 12, 2016",Ohio,Hilliard,"5100 block of Scioto Darby Road",1,0,N/A
"May 10, 2016",Michigan,Detroit,"19700 block of Oakfield Street",1,0,N/A
"May 1, 2016",Indiana,Indianapolis,"Gale and Vermont",1,0,N/A
"April 26, 2016",Georgia,Dallas,"Camp Circle and Dallas Acworth Highway",1,0,N/A
"April 26, 2016",Wisconsin,Milwaukee,"U.S. 41/Highway 175",1,0,N/A
"April 22, 2016",Louisiana,Natchitoches,"600 block of Sabine Alley",1,0,N/A
"April 21, 2016",Missouri,"Kansas City","2600 block of Lawn Avenue",1,0,N/A
"April 20, 2016",Indiana,Indianapolis,"5200 block of Alameda Road",1,0,N/A
"April 16, 2016",Pennsylvania,Philadelphia,"200 block of E. Mayfield Street",1,0,N/A
"March 20, 2016",Illinois,"Chicago (Englewood)","6700 block of S. Aberdeen St.",1,0,N/A
"March 19, 2016",Texas,Palestine,"300 block of Anderson County Road 1370",1,0,N/A
"March 11, 2016",Georgia,Norcross,"4900 block of Appaloosa Trail",1,0,N/A
"March 1, 2016",Florida,Sanford,"Highlawn Avenue",1,0,N/A
"February 29, 2016",Tennessee,Apison,"4724 Gates Lane",1,0,N/A
"February 26, 2016",Indiana,Sunman,"Van Wedding Road",1,0,N/A
"February 21, 2016",Indiana,Hartsville,"200 block of Clinton Street",1,0,N/A
"February 21, 2016",Florida,Fountain,"11601 Nonawood Road",1,0,N/A
"February 16, 2016",Texas,Lubbock,"2538 71st St",1,0,N/A
"February 6, 2016",Alabama,"Birmingham (Irondale)","2359 Monroe Dr",1,0,N/A
"January 30, 2016",Maryland,Baltimore,"400 block of N. Athol Avenue",1,0,N/A
"January 25, 2016",Tennessee,Crossville,"2009 N Main St",1,0,N/A
"January 23, 2016",Alaska,"Iliamna (Kokhanok)",N/A,1,0,N/A
"January 20, 2016",Michigan,Flint,"1300 block of Columbia Lane",1,0,N/A
"January 20, 2016",Louisiana,"New Orleans","5600 block of Red Maple Drive",1,0,N/A
"January 19, 2016",Texas,Cypress,"15400 block of Redbud Berry Way",1,0,N/A
"January 10, 2016","North Carolina",Lumberton,"2200 block of Martin Luther King Jr. Drive",1,0,N/A
"January 9, 2016",Kentucky,Louisville,"400 block of N. 34th Street",1,0,N/A
"January 4, 2016",Tennessee,Memphis,"1400 block of Briercrest Lane",2,1,N/A
"January 4, 2016",Colorado,Trinidad,"806 E. Goddard Avenue",1,0,N/A
"December 28, 2015",Alaska,Bethel,N/A,1,0,N/A
"December 11, 2015",Kansas,"South Hutchinson","107 East Avenue B",1,0,N/A
"December 9, 2015",Texas,Dallas,"4900 block of South Buckner Boulevard",1,0,N/A
"December 4, 2015",Utah,"Spanish Fork (Lake Shore)",N/A,1,0,N/A
"November 28, 2015","New York",Rome,"519 West Dominick",1,0,N/A
"November 28, 2015",Georgia,Atlanta,"1041 Martin Street SE",1,0,N/A
"November 21, 2015",Tennessee,Goodlettsville,"452 Moss Trail",1,0,N/A
"November 18, 2015",Arkansas,"Little Rock","3401 Lamar Street",1,0,N/A
"November 17, 2015",Arkansas,Benton,"Nelson Court",1,0,N/A
"November 15, 2015","South Carolina","Rock Hill","Amelia Avenue",1,0,N/A
"November 11, 2015",Georgia,Jackson,"500 block of Carr Avenue",1,0,N/A
"November 9, 2015",Michigan,Detroit,"6600 block of Barton Street",1,0,N/A
"October 27, 2015",Georgia,Acworth,"1059 Athena Court",1,0,N/A
"October 26, 2015","North Carolina",Hendersonville,"158 Golden Eagle Way",1,0,N/A
"October 17, 2015",Georgia,Dallas,"400 block of Fairview Drive",1,1,N/A
"October 17, 2015",Illinois,Chicago,"1000 block of N Francisco Ave",1,0,N/A
"October 10, 2015",Utah,"Cache (county)",N/A,1,0,N/A
"October 2, 2015",Ohio,Carrollton,"8400 block of Bay Road",1,0,N/A
"September 2, 2015",Illinois,Chicago,"7400 block of South St. Lawrence Avenue",1,0,N/A
"September 1, 2015",Pennsylvania,Pittsburgh,"1600 block of Sandusky Court",1,0,N/A
"August 25, 2015",Missouri,"Saint Louis (Hanley Hills)","7700 block of Utica Drive",1,0,N/A
"August 23, 2015",Virginia,Hardy,"Heatherton Lane",1,0,N/A
"August 18, 2015",Alabama,"Birmingham (Hoover)","990 Wisteria Pl",1,0,N/A
"August 5, 2015",Alaska,Anchorage,"4000 block of Olympic Terrace Circle",1,0,N/A
"August 3, 2015",Michigan,Detroit,"16000 block of Eastwood Street",1,0,N/A
"August 3, 2015",Texas,Longview,"2500 block of North Eastman Road",1,0,N/A
"July 30, 2015",Texas,Houston,"8442 Tavenor Lane",1,0,N/A
"July 29, 2015","District of Columbia",Washington,"600 block of 46th Place SE",1,0,N/A
"July 23, 2015",Michigan,Elmira,"Tobias Rd",1,0,N/A
"July 17, 2015",Louisiana,Shreveport,"200 block of Prospect Street",1,0,N/A
"July 15, 2015",Missouri,"Kansas City","3100 block of Spruce",1,0,N/A
"July 5, 2015",Texas,Spring,"19000 block of Puget Lane",1,0,N/A
"July 2, 2015",Virginia,Hampton,"300 block of West Chamberlin Avenue",1,0,N/A
"June 28, 2015",Michigan,Franklin,"12919 Tipton Highway",1,0,N/A
"June 27, 2015",Montana,"Saint Marie","308B Willow",1,0,N/A
"June 13, 2015",Texas,"Wise (county)","County Road 4010",1,0,N/A
"June 11, 2015",Ohio,Hamilton,"709 Gordon Smith Boulevard",1,0,N/A
"June 10, 2015",California,Adelanto,"1800 block of Bellflower Street",1,0,N/A
"June 9, 2015",Tennessee,Memphis,"4300 block of Egyptian Cove",1,0,N/A
"May 30, 2015",Alaska,Ambler,N/A,1,0,N/A
"May 30, 2015",Texas,Abilene,"500 block of Washington Street",1,0,N/A
"May 25, 2015","New York",Yonkers,"484 Walnut St",1,0,N/A
"May 25, 2015","South Dakota","Brown (county)",N/A,1,0,N/A
"May 25, 2015",Virginia,Meherrin,"Doswell Town Road",1,0,N/A
"May 23, 2015",Mississippi,Jackson,"Glencross Drive",1,0,N/A
"May 16, 2015",California,Perris,"140 block of Metz Road",1,0,N/A
"May 15, 2015",Arkansas,Redfield,"1107 Huck Finn Blvd",1,0,N/A
"May 3, 2015",Florida,"Panama City","1914 Frankford Ave",1,0,N/A
"May 3, 2015",Louisiana,Shreveport,"400 block of Pete Harris Drive",1,0,N/A
"April 30, 2015",Georgia,Macon,"6381 Thomaston Road",1,0,N/A
"April 29, 2015",Georgia,Augusta,"1200 block of Holden Drive",1,0,N/A
"April 18, 2015",Texas,Killeen,"3600 block of Del Mar Court",1,0,N/A
"April 12, 2015",Ohio,Cleveland,"3700 block of E 63rd St",1,0,N/A
"March 31, 2015",Tennessee,Madison,"333 Rio Vista Drive",1,0,N/A
"March 29, 2015",Georgia,Jefferson,"300 block of Fairfield Drive",1,0,N/A
"March 19, 2015",Texas,Houston,"14425 Alief Clodine Rd",1,0,N/A
"March 19, 2015",Texas,Houston,"6301 Sierra Blanca",1,0,N/A
"March 17, 2015",Oklahoma,Comanche,"Highway 81",1,0,N/A
"March 13, 2015",Kentucky,Louisville,"3400 block of Algonquin Parkway",1,0,N/A
"March 13, 2015",Michigan,Flint,"1800 block of Barks Street",1,0,N/A
"March 6, 2015",Tennessee,Nashville,"3024 Gwynwood Drive",1,0,N/A
"March 5, 2015",Oregon,Malin,"9425 Matney Way",1,0,N/A
"March 4, 2015",Alaska,Shungnak,N/A,1,0,N/A
"March 1, 2015",Texas,Houston,"1900 block of Imperial Stone Dr.",1,0,N/A
"February 27, 2015",Texas,Houston,"7400 block of Betanna",1,0,N/A
"February 15, 2015",Alabama,Gaylesville,"County Road 865",1,2,N/A
"February 10, 2015",Ohio,Dalton,"South Mount Eaton Road",1,0,N/A
"February 9, 2015",Louisiana,"Lake Charles","Arsene Road",1,0,N/A
"January 21, 2015",Michigan,"Benton Harbor","1600 block of Norton St",1,0,N/A
"January 21, 2015",Florida,"Tarpon Springs","1094 Misty Hollow Lane",1,0,N/A
"December 31, 2014",Alabama,Montgomery,"1700 block of Yarborough Street",1,0,N/A
"December 30, 2014",Idaho,Hayden,"550 W Honeysuckle Ave",1,0,N/A
"December 29, 2014",Michigan,Detroit,"11200 block of Roxbury St",1,0,N/A
"December 29, 2014",Michigan,Detroit,"11200 block of Roxbury Street",1,0,N/A
"December 15, 2014","South Carolina",Simpsonville,"Garfield Lane",1,0,N/A
"December 6, 2014",Oklahoma,Atoka,"Wells St",1,0,N/A
"December 5, 2014",Illinois,"Villa Park",N/A,1,0,N/A
"November 28, 2014",Texas,Childress,N/A,1,0,N/A
"November 25, 2014",Texas,Katy,"4302 Falcon Meadow",1,0,N/A
"November 24, 2014",Oklahoma,Tulsa,"100 block of South 168th East Avenue",1,0,N/A
"November 20, 2014",Indiana,Elkhart,"2100 block of Morton Avenue",1,0,N/A
"November 15, 2014",Virginia,Norfolk,"800 block of B Avenue",1,0,N/A
"November 8, 2014",Michigan,Detroit,"16100 block of Northlawn Ave",1,0,N/A
"November 2, 2014",Ohio,Cincinnati,"200 block of Kinsey Avenue",1,0,N/A
"October 22, 2014",Montana,Charlo,"Eagle Trail Pass",1,0,N/A
"October 17, 2014",Tennessee,Buchanan,"Mt Pleasant Freeland Rd",1,0,N/A
"October 11, 2014",Louisiana,Benton,"200 block of Retha Lane",1,0,N/A
"September 25, 2014",Pennsylvania,Saltsburg,"Elders Ridge Rd",1,0,N/A
"September 13, 2014","South Carolina",Denmark,"East Mill Street",1,0,N/A
"September 5, 2014",Virginia,Richmond,"1500 block of Mechanicsville Turnpike",1,0,N/A
"August 25, 2014",Arizona,"Willow Beach (White Hills)","20606 US 93",1,0,N/A
"August 17, 2014",Tennessee,Clarksville,"2600 block of Arthurs Court",1,0,N/A
"August 10, 2014",Tennessee,Sparta,"8504 Old Kentucky Rd",1,0,N/A
"August 6, 2014",Oklahoma,Hobart,"200 block of Monroe",1,0,N/A
"July 30, 2014",Idaho,Chubbuck,"600 block of Canal Street",1,0,N/A
"July 29, 2014",Kansas,Wichita,"500 block of East Lincoln",1,0,N/A
"July 2, 2014",Alabama,"Birmingham (Midfield)",N/A,1,0,N/A
"July 2, 2014",Arizona,Tonopah,"S 363rd Ave and W Durango St",1,0,N/A
"June 1, 2014",Missouri,Joplin,"11319 Hwy FF  (32nd St)",1,0,N/A
"May 27, 2014",Arizona,Payson,"303 S. Ash Street",1,0,N/A
"May 25, 2014",Florida,Homestead,"Northwest Fourth Street and Eighth Avenue ",1,0,N/A
"May 24, 2014",Vermont,Cabot,"Vermont 215",1,0,N/A
"May 24, 2014",Texas,Boerne,"100 block of Becker Street",1,0,N/A
"May 5, 2014",Georgia,"Johnson Corner",N/A,1,0,N/A
"May 3, 2014",Pennsylvania,"Dingmans Ferry","123 Keystone Dr",1,0,N/A
"April 29, 2014",Kansas,Wichita,"1300 block of North Pennsylvania Avenue",1,0,N/A
"April 28, 2014","North Carolina",Durham,"Macon Street and Washington ",1,0,N/A
"April 26, 2014",Indiana,"Noble County","5000 W. County Road 1100",1,0,N/A
"April 25, 2014","North Carolina",Fayetteville,"2101 Hyde Place",1,0,N/A
"April 21, 2014",Iowa,"Des Moines","2746 Fleur Dr.",1,0,N/A
"April 17, 2014","South Carolina",Easley,"Hasting Road ",1,0,N/A
"April 13, 2014","North Carolina",Charlotte,"700 Glasgow Road",1,0,N/A
"April 12, 2014","South Carolina",Gaston,"Wild Bird Lane",1,1,N/A
"April 5, 2014",Pennsylvania,Philadelphia,"3800 Wallace Street",1,0,N/A
"April 4, 2014",Georgia,Savannah,"1400 Church Street ",1,0,N/A
"April 4, 2014",Georgia,Waycross," 4900 Jana Lane",1,0,N/A
"April 3, 2014",Oklahoma,Bokoshe,"Buck Creek Road",1,0,N/A
"March 18, 2014",Utah,Richfield,"Main Street near 500 South ",0,1,N/A
"March 11, 2014",Indiana,Greensburg,"1000 block of North Carver Street",1,0,N/A
"March 11, 2014",Oklahoma,"Broken Arrow","3500 block of East Aurora",1,0,N/A
"March 10, 2014",Texas,Corsicana,"County Rd 3144",1,0,N/A
"March 5, 2014",Alabama,Mobile,"2600 block of Wealthy Street ",1,0,N/A
"March 1, 2014",Florida,Pensacola,"1500 block of Fairfield Dr",1,0,N/A
"February 17, 2014",Arkansas,"El Dorado","Shuler Road",1,0,N/A
"February 13, 2014",Florida,"Lake Worth","1200 block of North O Street",1,0,N/A
"February 7, 2014",Massachusetts,Boston,"617 Morton St.",1,0,N/A
"January 29, 2014","North Carolina","Snow Hill","15 Letchworth Drive",1,0,N/A
"January 11, 2014",Arkansas,Bono,"1187 Greene Rd 336",1,0,N/A
"January 1, 2014",Mississippi,"Bogue Chitto","1347 Brumfield Rd SW",1,0,N/A
