"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"January 31, 2018",Illinois,Chicago,"10300 S Ave N",0,1,N/A
"January 29, 2018",Nevada,"Carson City","3400 block of Airport Rd",0,1,N/A
"January 29, 2018",Indiana,"South Bend","1800 block of Chapin St",0,1,N/A
"January 29, 2018",California,"Los Angeles","10400 block of Avalon Blvd",0,1,N/A
"January 28, 2018","New Jersey","Jersey City","57 Dales Ave",0,1,N/A
"January 28, 2018",Tennessee,Madison,"Sarver St",0,1,N/A
"January 25, 2018",Missouri,"Grain Valley","900 block of NW Dogwood Dr",0,1,N/A
"January 25, 2018",Utah,Vernal,N/A,0,1,N/A
"January 25, 2018",Wisconsin,Livingston,"W Co Rd E",0,1,N/A
"January 24, 2018",Georgia,Atlanta,"2543 Susan Lane",0,1,N/A
"January 24, 2018",Arkansas,Warren,"S Martin St",0,1,N/A
"January 23, 2018",Colorado,"Colorado Springs","1145 Bell Tower Heights",0,1,N/A
"January 21, 2018",Florida,Orlando,"3101 Willow Bend Blvd",0,4,N/A
"January 20, 2018",Illinois,Chicago,"2000 N Laramie Ave",0,2,N/A
"January 20, 2018",Ohio,Lorain,"Larkmoor Ave and Missouri Ave",0,2,N/A
"January 20, 2018",Pennsylvania,"Pittsburgh (Homewood)","7000 block of Hermitage St",0,1,N/A
"January 20, 2018",Florida,Webster,N/A,0,1,N/A
"January 19, 2018",Arkansas,"North Little Rock","5900 McCain Park Pl",1,1,N/A
"January 17, 2018",Missouri,Springfield,"2400 Block of W Alta St",0,1,N/A
"January 15, 2018",Florida,Alachua,"14223 NW 156th Pl",0,5,N/A
"January 15, 2018",Arizona,Phoenix,"N 19th Ave and W Cactus Rd",0,1,N/A
"January 14, 2018",California,Stockton,"Country Club Blvd",0,1,N/A
"January 14, 2018","North Carolina",Charlotte,"2000 Block of Cairns Mill Ct",0,1,N/A
"January 14, 2018",Missouri,"Saint Louis","Sidney St and California Ave",0,1,N/A
"January 13, 2018",Texas,"San Antonio","W Travis St and NW 25th St",0,2,N/A
"January 12, 2018",Virginia,"Newport News","13200 block of Aqueduct Dr",0,1,N/A
"January 12, 2018","North Carolina",Durham,"3804 N Duke St",0,1,N/A
"January 11, 2018",Illinois,Rockford,"800 Concord Ave",0,1,N/A
"January 10, 2018",Louisiana,"Monroe (Richwood)","Highland Road",0,1,N/A
"January 10, 2018",Missouri,"Saint Louis","10400 block of Count Dr",0,1,N/A
"January 9, 2018","North Carolina",Statesville,"Caldwell St",0,3,N/A
"January 8, 2018",Louisiana,Shreveport,"2619 Merwin Street",0,1,N/A
"January 7, 2018",Florida,Marianna,"FL 73",0,1,N/A
"January 6, 2018",Alabama,Gadsden,"1000 Rainbow Drive",0,2,N/A
"January 4, 2018",Missouri,"Kansas City","300 block of E 6th Terrace",0,1,N/A
"January 4, 2018",Illinois,Maywood,"500 W Lake St",1,3,N/A
"January 4, 2018",Louisiana,"Baton Rouge","900 Block of N 31st St",0,1,N/A
"January 2, 2018",Pennsylvania,Orwigsburg,"214 E Market St",0,1,N/A
"January 1, 2018","North Carolina",Charlotte,"2305 Farmer St",0,2,N/A
"January 1, 2018",California,"Los Angeles","Baring Cross and W 88th St",0,1,N/A
"January 1, 2018",California,"Los Angeles","105th St and Denker Ave",0,3,N/A
"December 31, 2017",Texas,"Fort Worth","5800 block of Hiett Ct",0,2,N/A
"December 30, 2017",Kansas,Wichita,"1500 block of N Gentry",0,1,N/A
"December 30, 2017","New York",Attica,"Tooley Rd Exd",0,1,N/A
"December 30, 2017",Florida,Sarasota,"2300 Block of University Pkwy",0,3,N/A
"December 27, 2017",Texas,Killeen,"2700 block of Roadrunner Dr",0,2,N/A
"December 26, 2017","North Carolina",Charlotte,"Leake St",0,2,N/A
"December 23, 2017",Pennsylvania,Pittsburgh,"7000 block of Hermitage St",0,1,N/A
"December 23, 2017",Utah,Centerville,"1200 N and 225 W",0,1,N/A
"December 22, 2017",Ohio,Warren,"Perkinswood Ave SE",0,1,N/A
"December 22, 2017",Missouri,"Kansas City","1900 E 83rd Terrace",0,1,N/A
"December 22, 2017",Pennsylvania,Philadelphia,"5900 block of Springfield Ave",0,1,N/A
"December 21, 2017","North Carolina",Charlotte,"5700 block of Leake Street",0,2,N/A
"December 21, 2017",Virginia,Roanoke,"7200 block of Bradshaw",0,1,N/A
"December 19, 2017",Illinois,Chicago,"8100 S Coles Ave",0,1,N/A
"December 19, 2017",Ohio,Cleveland,"15504 Waterloo Rd",0,3,N/A
"December 18, 2017",Tennessee,Memphis,"Lamar Ave and South Trezevant St",0,1,N/A
"December 18, 2017",Florida,"Dade City","Center St and Old Sparkman Rd",0,1,N/A
"December 16, 2017","District of Columbia",Washington,"2500 block of Pomeroy Rd SE",0,1,N/A
"December 16, 2017","South Carolina",Turbeville,"Mickey St",0,2,N/A
"December 15, 2017",California,Pacoima,"13041 Jouett Street",0,5,N/A
"December 14, 2017",Tennessee,Nashville,"2402 26th Ave N",0,1,N/A
"December 13, 2017",Ohio,Columbus,"200 block of E Barthman Ave",1,3,N/A
"December 10, 2017",Iowa,"Iowa City","Prairie du Chien Rd NE and 320th St NE",0,1,N/A
"December 9, 2017",Mississippi,Summit,N/A,0,1,N/A
"December 7, 2017",Pennsylvania,Harrisburg,"1100 block of Cloverly Rd",0,1,N/A
"December 6, 2017",California,Oakland,"6500 block of Simson St",0,1,N/A
"December 6, 2017",Texas,Houston,"7700 block of Corporate",1,2,N/A
"December 5, 2017",Maryland,Suitland,"3000 block of Bellamy Way",0,1,N/A
"December 4, 2017",Wisconsin,"Camp Douglas","400 block of Co Rd H",0,1,N/A
"December 3, 2017",Kentucky,Louisville,"1500 block of Oleanda Avenue",0,1,N/A
"December 2, 2017",Arizona,Glendale,"59th Ave and Missouri Ave",0,1,N/A
"December 2, 2017",Mississippi,Vicksburg,"100 block of Carver Drive",0,1,N/A
"November 30, 2017",Georgia,Atlanta,"1700 block of Stanton Rd SW",0,1,N/A
"November 28, 2017",Virginia,Lynchburg,"Taylor St",0,1,N/A
"November 28, 2017",Kentucky,Louisville,"1700 block of Patton Court",0,1,N/A
"November 28, 2017",Florida,Leesburg,"Berwick Dr",0,1,N/A
"November 27, 2017",Louisiana,Shreveport,"300 block of Colquitt Road",0,1,N/A
"November 26, 2017",Pennsylvania,Philadelphia,"1300 block of S Wilton St",0,1,N/A
"November 26, 2017",Missouri,Berger,"1000 block of Sauer Ford Road",0,1,N/A
"November 26, 2017",Alabama,"Mobile (Prichard)","Barretts Lane",1,1,N/A
"November 25, 2017",Pennsylvania,Pittsburgh,"100 block of Addison St",0,2,N/A
"November 24, 2017",Texas,Houston,"8000 block of Grow Ln",0,1,N/A
"November 23, 2017",Texas,Houston,"3700 block of McHard Rd",0,1,N/A
"November 22, 2017",Mississippi,Grenada,"1200 block of Hebron Church Road",0,1,N/A
"November 22, 2017",Georgia,Macon,"Roy St",0,1,N/A
"November 21, 2017",Georgia,Atlanta,"3000 Block of Clifton Church Rd",0,1,N/A
"November 21, 2017",Texas,"San Antonio","110 Mercedes Street",0,1,N/A
"November 19, 2017",Minnesota,"Deer Creek",N/A,0,1,N/A
"November 19, 2017",Alabama,Birmingham,"Gaywood Circle and Montclair Road",0,1,N/A
"November 19, 2017",Kansas,"Pretty Prairie","26000 block of S Dean Rd",0,1,N/A
"November 19, 2017",Texas,Denison,"1700 block of W Elm St",1,1,N/A
"November 18, 2017",Texas,Dale,N/A,0,2,N/A
"November 17, 2017",Ohio,"Quaker City","Putney Ridge Rd",0,1,N/A
"November 16, 2017",Pennsylvania,"Pittsburgh (Penn Hills)","1200 block of Harvard Dr",0,1,N/A
"November 16, 2017",Ohio,Columbus,N/A,0,1,N/A
"November 15, 2017","North Carolina",Pikeville,"143 Canary Ln",0,1,N/A
"November 15, 2017",Idaho,Wendell,"600 block of W Ave F",0,1,N/A
"November 15, 2017",Ohio,Columbus,"1400 block of Vilardo Ln",0,1,N/A
"November 15, 2017",Texas,"Corpus Christi","400 block of Breckenridge Dr",0,2,N/A
"November 14, 2017",California,Corning,"17357 Stagecoach Rd",6,12,N/A
"November 13, 2017",Pennsylvania,Pittsburgh,"5100 block of Columbo St",0,1,N/A
"November 13, 2017",Minnesota,"Saint Cloud","1500 block of 15th Ave SE",0,1,N/A
"November 13, 2017",Kentucky,Louisville,"2101 S Hurstbourne Pkwy",0,1,N/A
"November 13, 2017",Texas,Dallas,"3500 block of W Wheatland Rd",0,2,N/A
"November 12, 2017",Alabama,"Phenix City",N/A,0,1,N/A
"November 12, 2017",Georgia,Atlanta,"1944  Piedmont Cir NE",0,2,N/A
"November 10, 2017",Ohio,"Dayton (Trotwood)","193 Olive Rd",0,4,N/A
"November 10, 2017",Oregon,Hermiston,N/A,0,1,N/A
"November 10, 2017",California,Bakersfield,"800 block of Pershing St",1,2,N/A
"November 7, 2017",Missouri,"Saint Louis","5900 block of Lucille Ave",0,1,N/A
"November 5, 2017",Texas,"Sutherland Springs","216 4th St",27,20,N/A
"November 4, 2017",Texas,Austin,"N Lamar Blvd and Masterson Pass",0,4,N/A
"November 1, 2017",Florida,"Saint Augustine","Shady Oak Cir",0,1,N/A
"October 31, 2017","West Virginia",Charleston,"Bradford St",0,1,N/A
"October 31, 2017",Nebraska,York,N/A,0,3,N/A
"October 31, 2017",Arkansas,Jonesboro,"2200 block of Parkside Drive",0,1,N/A
"October 30, 2017",Mississippi,Lexington,"Golf Ground Road",0,1,N/A
"October 29, 2017",Pennsylvania,Butler,"Moran Rd",0,1,N/A
"October 29, 2017",Alabama,Montgomery,"700 block of 3rd Avenue West",0,3,N/A
"October 29, 2017",Illinois,Chicago,"1 E 60th St",0,1,N/A
"October 28, 2017",California,Modesto,"1400 block of Lake Park Ct",1,1,N/A
"October 28, 2017",Alabama,Montgomery,"800 block of Westview Drive",0,1,N/A
"October 26, 2017","North Carolina","Tabor City","Miller Rd",0,3,N/A
"October 25, 2017",Illinois,"East Saint Louis","Eads Bridge and River Park Dr",1,1,N/A
"October 25, 2017",Missouri,"Saint Louis","5100 block of Northland Ave",0,1,N/A
"October 24, 2017",Louisiana,Marrero,"2800 block of Mount Kennedy Dr",0,2,N/A
"October 22, 2017",Louisiana,Natchitoches,"Reba Street",0,2,N/A
"October 21, 2017",Mississippi,Laurel,"N 2nd Ave",0,1,N/A
"October 21, 2017",Pennsylvania,Philadelphia,"3641 N 18th St",0,1,N/A
"October 21, 2017",Wisconsin,Milwaukee,"6th and Melvina",0,1,N/A
"October 21, 2017",Utah,Sandy,"122 E Sego Lily Dr",0,2,N/A
"October 18, 2017",Colorado,"Colorado Springs","1600 block of East Woodmen Road",1,2,N/A
"October 17, 2017",Texas,"San Antonio","700 block of E Commerce St",0,2,N/A
"October 17, 2017",Texas,Houston,"8000 block of Boone St",0,1,N/A
"October 16, 2017",Louisiana,"Gretna (Terrytown)","19000 block of Faith Pl",0,1,N/A
"October 16, 2017",Alabama,Mobile,"South Scott Street",0,1,N/A
"October 15, 2017",Illinois,Chicago,"9100 S Blackstone Ave",0,1,N/A
"October 15, 2017","North Carolina",Clinton,"25 Bumpy Ln",0,1,N/A
"October 14, 2017",Arkansas,Fouke,N/A,0,1,N/A
"October 12, 2017",Florida,Clermont,"2110 Thousand Trails Blvd",0,1,N/A
"October 10, 2017",Mississippi,Jackson,"100 block of Woodcrest Dr",0,1,N/A
"October 8, 2017",Tennessee,Memphis,"3600 block of Bluff Wood Dr",0,3,N/A
"October 8, 2017",Iowa,Nashua,"3035 Addison Blvd",0,1,N/A
"October 6, 2017","West Virginia",Culloden,"Benedict Rd",2,1,N/A
"October 4, 2017",Illinois,"East Saint Louis","River Park Dr",1,1,N/A
"October 3, 2017","North Carolina",Greensboro,"310 N Swing Rd",0,1,N/A
"October 2, 2017",Illinois,Rockford,"600 N Sunset Ave",0,2,N/A
"September 30, 2017",Montana,"Columbia Falls",N/A,0,2,N/A
"September 30, 2017",Missouri,"Saint Louis","2800 block of Potomac St",0,1,N/A
"September 29, 2017",Maryland,Baltimore,"1000 block of Slater Road",0,1,N/A
"September 29, 2017",Pennsylvania,Philadelphia,"24th and Norris",0,1,N/A
"September 28, 2017",Virginia,"Newport News","200 block of Gallery Ct",0,1,N/A
"September 27, 2017",Michigan,Flint,"900 block of Black Ave",0,1,N/A
"September 27, 2017",Michigan,Dearborn,"3000 block of Harding St",0,2,N/A
"September 27, 2017",California,"Apple Valley","16100 block of Viho Rd",0,1,N/A
"September 26, 2017",Missouri,"Saint Louis","4600 block of Pope Ave",0,1,N/A
"September 25, 2017",Wisconsin,Milwaukee,"3919 W Hampton Ave",0,1,N/A
"September 23, 2017",Alabama,Mobile,"651 Azalea Rd",0,1,N/A
"September 21, 2017","North Carolina",Harrells,"Maddie Ln",0,1,N/A
"September 21, 2017",Alabama,Marion,N/A,0,1,N/A
"September 21, 2017",Missouri,"Kansas City","8619 E 61st Terrace",0,1,N/A
"September 17, 2017",Georgia,Guyton,"Simmons St Exd",0,1,N/A
"September 16, 2017",Pennsylvania,Pittsburgh,"3200 block of Huxley",0,3,N/A
"September 16, 2017",Ohio,Akron,"700 Block of Dunbar Drive",0,1,N/A
"September 14, 2017",Virginia,Norfolk,"800 block of Whitaker Ln",0,2,N/A
"September 13, 2017",Florida,"Fort Myers","Madison Ave and Alderman Ave",0,3,N/A
"September 12, 2017",Missouri,"Saint Louis","2100 block of Adelaide Ave",0,2,N/A
"September 12, 2017",Virginia,Henrico,"6100 block of La France Rd",0,1,N/A
"September 11, 2017",Mississippi,Osyka,"5th Street",1,2,N/A
"September 11, 2017",Missouri,"Kansas City","6700 E 87th St",0,2,N/A
"September 9, 2017",Virginia,Richmond,"3200 block of 5th Ave",1,1,N/A
"September 8, 2017",Virginia,"Warrenton (Opal)","9719 James Madison Hwy",0,1,N/A
"September 8, 2017",Michigan,Detroit,"5900 block of Ogden",0,1,N/A
"September 7, 2017",Louisiana,"Baton Rouge","2000 block of 71st Ave",0,2,N/A
"September 7, 2017",Indiana,Milan,"1000 block of S County Road 625 East",0,1,N/A
"September 7, 2017","North Carolina",Statesville,"Compton Park Rd",0,1,N/A
"September 6, 2017",Tennessee,Hixson,"7313 Valley Ln",0,1,N/A
"September 6, 2017",Florida,"Fort Myers","Madison and Alderman Avenue",0,3,N/A
"September 5, 2017",Tennessee,Memphis,"1725 W Shelby Dr",0,1,N/A
"September 5, 2017",Texas,"San Antonio","500 block of Park Grove Dr",0,1,N/A
"September 4, 2017",Delaware,Wilmington,"1900 block of 5th Street",0,1,N/A
"September 2, 2017",Alabama,Birmingham,"1800 block of Princeton Ave",0,1,N/A
"September 2, 2017",Kentucky,Louisville,"8008 Watterson Trail",0,4,N/A
"September 1, 2017",Virginia,Williamsburg,N/A,0,1,N/A
"August 31, 2017",Georgia,Lithonia,"6300 block of Phillips Creek Dr",0,1,N/A
"August 30, 2017",Michigan,Saginaw,"3200 block of Harold St",0,1,N/A
"August 28, 2017","New Mexico",Clovis,"701 N Main St",2,4,N/A
"August 27, 2017",Michigan,Kalamazoo,"Carleton Avenue",0,1,N/A
"August 27, 2017",Nevada,"Las Vegas","4700 block of Luxor Way",0,1,N/A
"August 25, 2017",Colorado,"Colorado Springs","4400 block of Bramble Ln",0,1,N/A
"August 25, 2017",Alabama,Valley,"2100 block of Columbus Rd",0,1,N/A
"August 25, 2017",Tennessee,Nashville,"2410 26th Ave N",0,3,N/A
"August 24, 2017",Pennsylvania,Philadelphia,"2600 block of S Hicks St",0,1,N/A
"August 22, 2017",Arkansas,"West Memphis","1500 Block of E Arrington",0,1,N/A
"August 22, 2017",Louisiana,Ruston,"Cotton Ave",1,2,N/A
"August 22, 2017",Georgia,Atlanta,"3400 Landrum Drive SW",0,1,N/A
"August 21, 2017",Kentucky,Louisville,"1700 block of Patton Court",0,1,N/A
"August 19, 2017","South Carolina","Hilton Head Island","11 Southwood Park Dr",0,1,N/A
"August 19, 2017",California,Bakersfield,"100 block of North Chester Ave",0,1,N/A
"August 19, 2017",Connecticut,Hartford,"E Raymond St",0,1,N/A
"August 19, 2017","District of Columbia",Washington,"1400 block of 41st St SE",0,1,N/A
"August 19, 2017","New York",Brooklyn,"Sutter and Van Sinderen avenue",0,2,N/A
"August 18, 2017",Tennessee,Memphis,"3000 block of Egan Dr",0,1,N/A
"August 16, 2017",Ohio,Toledo,"6200 block of Applegate St",0,1,N/A
"August 16, 2017",Utah,"Mount Pleasant","113 E 400 N St",0,1,N/A
"August 15, 2017",Alabama,Birmingham,"6000 block of 1st Ave N",0,2,N/A
"August 14, 2017",Alabama,Birmingham,"2916 Gallant Drive",0,2,N/A
"August 13, 2017",Ohio,Youngstown,"3000 block of Northgate Ave",0,1,N/A
"August 13, 2017",Illinois,Chicago,"5900 block of W Wabansia",0,1,N/A
"August 13, 2017","New York",Hudson,"543 State St",0,3,N/A
"August 12, 2017",Kansas,Newton,"1009 S Kansas",0,1,N/A
"August 12, 2017",California,Stockton,"3400 block of E Main St",0,1,N/A
"August 9, 2017",California,"Edwards (North Edwards)",N/A,0,1,N/A
"August 9, 2017",Mississippi,Purvis,"100 block of N Wind Ridge Ln",0,1,N/A
"August 7, 2017",Ohio,Cleveland,"I-90 and E 55th St",0,1,N/A
"August 6, 2017",Tennessee,Chattanooga,"600 block of Dodson Ave",0,1,N/A
"August 5, 2017",Mississippi,Kosciusko,"500 block of Tipton Street",0,1,N/A
"August 4, 2017",Texas,Longview,"1200 block of Douglas St",0,1,N/A
"August 3, 2017",Alabama,Montgomery,"100 block of Pickett Street",0,1,N/A
"August 2, 2017",Georgia,"Warner Robins","North Commercial Circle",0,1,N/A
"August 1, 2017",Mississippi,Brooksville,"114 Cockrell Quarters Road",1,1,N/A
"August 1, 2017",Ohio,Akron,"700 block of Alicia Walk",0,1,N/A
"August 1, 2017",Michigan,Detroit,"Houston Whittier and Chalmers",0,2,N/A
"July 31, 2017",Indiana,"South Bend",N/A,0,1,N/A
"July 31, 2017",Wisconsin,Milwaukee,"47th and Center",0,1,N/A
"July 30, 2017",Connecticut,Bridgeport,"Colorado Ave and Maplewood Ave",0,2,N/A
"July 28, 2017",Illinois,Chicago,"5200 block of W Kamerling Ave",1,2,N/A
"July 27, 2017","New Mexico",Albuquerque,"500 block of Whispering St SW",0,1,N/A
"July 27, 2017",Connecticut,"East Hartford","10 Great Hill Road",0,2,N/A
"July 27, 2017",Virginia,Dumfries,"3600 block of McDowell Ct",0,1,N/A
"July 26, 2017",Alabama,Montevallo,"100 block of Sarge Dr",0,1,N/A
"July 25, 2017",Minnesota,"Saint Paul","738 East 3rd Street",0,1,N/A
"July 24, 2017","North Carolina",Burlington,"Stone St",0,1,N/A
